id,severity,area,file_path,evidence,why_it_matters,risk_if_ignored,required_action,owner_decision_needed,suggested_next_prompt_or_action
H-01,HIGH,quant_methodology,03_RESEARCH_LAB/research_lab/strategies/BO01Strategy.py:197-214,"signal() reads precomputed columns ema_m15_200 and atr14 via iat[i]; no-future-poisoning test only corrupts rows after i so it cannot detect non-causal feature build","strategy is causal in-frame but consumes precomputed M15/ATR features whose causal alignment is set by an unaudited data-prep step","lookahead-contaminated structural statistics in Phase B; false edge interpretation","schedule a read-only data-prep causality audit of ema_m15_200/atr14 before Phase B","yes - accept as pre-Phase-B item or remediate sooner","Pre-Phase-B: audit data-prep causal alignment of M15 EMA200 and ATR14"
H-02,HIGH,data_policy,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/BO01_PHASE_A_TRAIN_ONLY_REALDATA_BACKTEST_EXECUTION_PROMPT_DRAFT_V1.md:165,"per W-02 the temporary_execution_script is OPTIONAL and not part of the audited runner; path/partition/2025-2026/SHA256/monotonicity proof live in that loader layer","the main code Phase A exercises (data loader/proof) is the unaudited surface; runner only backstops 2025-2026-by-timestamp and NaN/monotonicity","validation/holdout-by-content or a wrong-file load not caught by the runner backstop","decide: audit the loader path before Phase A OR formally accept reliance on the runner backstop and treat the script as throwaway","yes","Audit data-loader/data-proof code path OR record formal acceptance"
M-01,MEDIUM,backtest_runner,03_RESEARCH_LAB/research_lab/runners/bo01_backtest_runner.py:88-96,"validate_backtest_frame blocks validation/holdout only via a literal partition/split column or year 2025/2026","validation/holdout data inside 2015-2024 without a split column would not be detected by the runner","silent use of non-train data if the loader fails to slice correctly","add path-anchored + hash-anchored train-only proof in the loader; treat runner guard as defense-in-depth only","yes","Specify loader-level positive train-partition proof"
M-02,MEDIUM,backtest_runner,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/BO01_FIRST_TRAIN_ONLY_REALDATA_BACKTEST_PROTOCOL_DESIGN_V1.md:87-99,"protocol cost profiles specify a Max Spread Guard (3.0/4.0 pips) absent from compute_cost_r in the audited runner","a specified risk control is not present in audited code","spread-spike trades not filtered as the protocol intends","decide whether the spread guard is required for Phase A or deferred; do not edit the pinned runner before Phase A","yes","Document spread-guard scope decision (defer vs implement post-Phase-A)"
M-03,MEDIUM,git_repository,05_MARKET_DATA_VAULT/legacy_data/data_usdjpy_2016_2019/prepared/USDJPY_M5.csv,"9 legacy USDJPY M5/M15/H1 CSVs tracked; .gitignore has no blanket vault or *.csv rule (only train + sealed_holdout subpaths ignored)","market price data committed to git; vault not comprehensively protected","repo bloat and a precedent of market data in git; future EURUSD data could leak the same way","add a comprehensive case-independent vault/*.csv ignore rule; decide on history extraction for the legacy USDJPY CSVs","yes","Repo-hygiene pass: gitignore hardening + data-in-git decision"
M-04,MEDIUM,outputs,07_BACKUPS/legacy_archive_2026,"744 trades.csv/equity_curve.csv/signal_log.csv/checkpoint artifacts tracked under 07_BACKUPS/** and 05_MARKET_DATA_VAULT/derived_data/**","committed backtest outputs set a precedent the Phase A pipeline must not extend","repo bloat; confusion between committed legacy outputs and gitignored Phase A outputs","confirm Phase A outputs stay in the gitignored local folder; decide on legacy artifact extraction","yes","Repo-hygiene pass: committed-output extraction decision"
M-05,MEDIUM,data_policy,05_MARKET_DATA_VAULT/eurusd_data,"data_candidates_2022_2025 (incl 2025) and data_free_2020 are NOT in .gitignore; protected only by read-only attr and not-yet-added (0 tracked now)","a future git add could commit 2025 data","accidental 2025 data in git -> contamination/leakage exposure","add explicit .gitignore entries for data_candidates_2022_2025 and data_free_2020","yes","Gitignore patch for unprotected eurusd_data partitions"
M-06,MEDIUM,data_policy,.gitignore:121,"local_outputs_do_not_commit matched only by case-insensitive *_DO_NOT_COMMIT* (works only because Windows core.ignorecase=true)","Phase A output-blocking guarantee depends on a fragile case-insensitive rule","on case-sensitive/cloud CI the rule fails and Phase A local outputs become committable","add an explicit lowercase local_outputs_do_not_commit/ ignore rule","yes","Gitignore patch: explicit lowercase local outputs rule"
M-07,MEDIUM,governance_chain,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/M2_TRAIN_ONLY_STRUCTURAL_RETRY_EXECUTION_REPORT_V1.md:100,"recurring inflated wording (executed flawlessly; Sealed fully guarded; 100% compliant; certified structurally safe; fully secured; perfectly sealed) across M1/M2/protocol/runner-patch reports","systemic violation of the project's own sober-language mandate; inflation can later read as a strength claim","language inflation normalizes and is misread as evidence of quality","sober-language remediation pass over the flagged reports (post-Phase-A)","no - cleanup","Post-Phase-A sober-language remediation pass"
M-08,MEDIUM,security_secrets,06_GOVERNANCE_AND_COMPLIANCE/security/token_revocation_cleanup_telegram,"commit 66768383 revoked+masked an exposed Telegram token; no live token in working tree; remediation reachable only from research/v50b-* branches","historical secret exposure; raw token may persist in old git objects/other branches; evidence not on main","abusable token if provider revocation was incomplete; lost incident record","positively confirm provider-side revocation; decide on history scrub; consolidate evidence to main","yes","Security follow-up: confirm revocation + consolidate evidence"
