source_external_path,internal_destination_path,file_name,extension,size_bytes_source,size_bytes_copy,sha256_source,sha256_copy,hash_match,category,status
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\CORRELATION_RISK_VS_MANIPULANTE.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\CORRELATION_RISK_VS_MANIPULANTE.md,CORRELATION_RISK_VS_MANIPULANTE.md,.md,5932,5932,b7a31dc77828224ad1184f00f731ff4830eba6437e964cd3b564d5931da4b61b,b7a31dc77828224ad1184f00f731ff4830eba6437e964cd3b564d5931da4b61b,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\ESTRATEGIAS_POSIBLES_MASTER_INDEX.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\ESTRATEGIAS_POSIBLES_MASTER_INDEX.md,ESTRATEGIAS_POSIBLES_MASTER_INDEX.md,.md,20678,20678,76bc85f614f33780199671838cd10909199786c423149a346ea5ab835e83f57c,76bc85f614f33780199671838cd10909199786c423149a346ea5ab835e83f57c,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\ESTRATEGIAS_POSIBLES_SOURCE_AUDIT.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\ESTRATEGIAS_POSIBLES_SOURCE_AUDIT.md,ESTRATEGIAS_POSIBLES_SOURCE_AUDIT.md,.md,6103,6103,ea3b89dfc02416d9224806356a4cfc0b1eb4ae8cc7f5dbe3fc4c311f3524d1dd,ea3b89dfc02416d9224806356a4cfc0b1eb4ae8cc7f5dbe3fc4c311f3524d1dd,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\FINAL_RESEARCH_SYNTHESIS_FOR_CHATGPT.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\FINAL_RESEARCH_SYNTHESIS_FOR_CHATGPT.md,FINAL_RESEARCH_SYNTHESIS_FOR_CHATGPT.md,.md,5793,5793,bbfa19d6edf54b3bcc9a4f210458ad3accc85bab4b3db35107cbf4f33203ebd7,bbfa19d6edf54b3bcc9a4f210458ad3accc85bab4b3db35107cbf4f33203ebd7,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\IMPLEMENTATION_DIFFICULTY_AND_DATA_REQUIREMENTS.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\IMPLEMENTATION_DIFFICULTY_AND_DATA_REQUIREMENTS.md,IMPLEMENTATION_DIFFICULTY_AND_DATA_REQUIREMENTS.md,.md,5316,5316,f213b73951a962a51132b4585cdcabaedc0cf38f3cd0417838cbee4a42447309,f213b73951a962a51132b4585cdcabaedc0cf38f3cd0417838cbee4a42447309,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\OVERFITTING_AND_REJECTION_RISKS.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\OVERFITTING_AND_REJECTION_RISKS.md,OVERFITTING_AND_REJECTION_RISKS.md,.md,6228,6228,43107a60e3e8df8f82148abfb959482001191534ba951bc00d6c4d8f235a1579,43107a60e3e8df8f82148abfb959482001191534ba951bc00d6c4d8f235a1579,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\RECOMMENDED_TESTING_SEQUENCE.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\RECOMMENDED_TESTING_SEQUENCE.md,RECOMMENDED_TESTING_SEQUENCE.md,.md,6010,6010,157fe86a6985ec486dff94e60cb6b389046523e23cf69e19ca49967cd681b58c,157fe86a6985ec486dff94e60cb6b389046523e23cf69e19ca49967cd681b58c,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\STRATEGY_FAMILY_TAXONOMY.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\STRATEGY_FAMILY_TAXONOMY.md,STRATEGY_FAMILY_TAXONOMY.md,.md,11538,11538,e697309eb8bc19bc11ef834d2e80edc3054a56adaa66ec8a6c73ad1e7c1d7c44,e697309eb8bc19bc11ef834d2e80edc3054a56adaa66ec8a6c73ad1e7c1d7c44,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\STRATEGY_IDEA_CARDS.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\STRATEGY_IDEA_CARDS.md,STRATEGY_IDEA_CARDS.md,.md,41653,41653,1cf511e97bde023f5bc591a95b93cb97df895934528d405905e4e57ce6091c90,1cf511e97bde023f5bc591a95b93cb97df895934528d405905e4e57ce6091c90,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
C:\Users\alera\Desktop\AGENTE_ESTRATEGIAS_POSIBLES_ANALYSIS_20260518\TOP_30_STRATEGY_IDEAS_RANKING.md,C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\03_RESEARCH_LAB\strategy_research_intake\external_research_20260518\ESTRATEGIAS_POSIBLES_ANALYSIS\TOP_30_STRATEGY_IDEAS_RANKING.md,TOP_30_STRATEGY_IDEAS_RANKING.md,.md,7831,7831,c1737265b02d6f2eb08c1cb80c341d319c6e1eaf09893ee65262b83f5674d8b4,c1737265b02d6f2eb08c1cb80c341d319c6e1eaf09893ee65262b83f5674d8b4,TRUE,STRATEGY_POSSIBLE_ANALYSIS,COPIED
