id,severity,category,finding,evidence,implication,required_action
P1,PASS,git_safety,"Run commit 937376fd = 16 lightweight files only; no code/data/heavy/zip","git show --name-only 937376fd count=16; code/heavy/data check NONE","Run did not modify code or data","None"
P2,PASS,output_policy,"VE-ORB trades.csv/equity_curve.csv properly git-ignored","git check-ignore -> .gitignore:121 *_DO_NOT_COMMIT*; absent from commit","No heavy outputs committed","None"
P3,PASS,scope_manifest,"Manifest train-only; all forbidden flags false; range 2015-2024","RUN_MANIFEST.json","Scope clean","None"
P4,PASS,scope_config,"No forbidden-scope fields; max_trades_per_day=2 (<=3 lab limit)","base/conservative/stress _ENGINE_CONFIG.json","Configs within lab rules","None"
P5,PASS,reconciliation,"summary.json vs cost CSV vs declared identical to float precision","3x summary.json + VEORB_COST_PROFILE_SUMMARY.csv","Reported numbers trustworthy","None"
P6,PASS,reconciliation,"monthly -> yearly -> summary tie out exactly (14+1=15; 7W/8L)","3x yearly.csv + 3x monthly.csv","Aggregation correct","None"
P7,PASS,cost_realism,"Strict monotonic degradation base>=conservative>=stress incl per-trade","summaries + trades.csv","Cost model coherent and correct direction","None"
P8,PASS,trades,"15 trades structurally valid; <=2/day; no news/gap/duplicates/out-of-range","3x trades.csv (full read)","Trade ledger sound","None"
P9,PASS,reconciliation,"Equity endpoints match summary returns to the cent (all 3 profiles)","3x equity_curve.csv last row","Heavy artifacts reconcile with light","None"
P10,PASS,data_integrity,"equity_curve.csv = 728997 rows spanning ALL years 2015-2024","wc -l; first 2015-01-02; last 2024-12-31; distinct years 2015..2024","Data-pipeline/iteration-stop bug REFUTED","None"
P11,PASS,scope_scan,"No real forbidden-scope usage; tokens are negative declarations or numeric false-positives","no-ignore grep + direct artifact reads","Scope confirmed clean","None"
W1,WARN,sample_size,"n=15; insufficient_sample=true and sample_penalty_applied=true on all 3 profiles","3x summary.json","Statistically dead; no edge; PF within noise","Reject as investable"
W2,WARN,activity,"All 15 trades 2015-01-06..2015-02-02; ~118.9 months zero activity","trades.csv; yearly/monthly","Strategy inactive ~10 years (worse than declared 'since 2016')","Diagnostic-only; no validation"
W3,WARN,misleading_metric,"positive_years=1/negative_years=0 is vacuous (only 1 active year)","yearly.csv has only a 2015 row","False robustness impression","Correct narrative framing"
W4,WARN,materiality,"10y total return 0.0199%-0.1376% (~0.002%-0.014%/yr)","3x summary.json","Economically irrelevant","Reject as investable"
W5,WARN,reconciliation_evidence,"Formal seal (sealed/exit0/violations none) prose-only; no machine artifact; manifest only reconciliation_required","run dir tree; RUN_MANIFEST.json; report sec7","Gate seal declared not evidenced (data recon itself is verified perfect)","Emit sealed/violations artifact in future runs"
W6,WARN,reconciliation,"Report sec9 conservative $161.43 / stress $98.42 != canonical $176.58 / $121.09","post-run report vs yearly/monthly USD","Report USD column unreliable (R/PF/return/DD do reconcile)","Correct report USD figures"
W7,WARN,output_policy_wording,"Report sec6 calls stress 'High precision mode' (forbidden lab term); actual execution_mode=stress_mode, high_precision_used=false","report sec6 vs config/manifest","Misleading prose only; no real high_precision usage","Reword to 'stress mode'"
W8,WARN,classification,"'INTERESTING' inflates a statistically dead strategy","post-run report sec10","Risk of self-deception","Downgrade to WATCHLIST_BUG_INVESTIGATION_ONLY"
W9,WARN,traceability,"Manifest run_id lacks timestamped token; no timestamp/recon-result fields","RUN_MANIFEST.json","Weak manifest-to-folder binding","Add token/timestamp/result to manifest"
W10,WARN,config_auditability,"Configs lack strategy/date/dataset; scope only via manifest+summary","3 engine configs","Configs not self-contained","Embed scope fields in engine config"
W11,WARN,timeframe,"summary timeframe M15 vs trades data_source prepared_m5_bid + allow_inferred_timeframe=true","summary.json vs trades.csv","Likely intentional but undocumented","Document timeframe inference"
W12,WARN,repo_hygiene_out_of_scope,"Pre-existing tracked heavy CSVs/backup under 05_MARKET_DATA_VAULT/derived_data and 07_BACKUPS/legacy_archive_2026","git ls-files","Not caused by this run; left untouched","Repo owner review separate from VE-ORB"
