module_name,current_path,previous_path,status,used_in_gate6_mini,reason,risk,action_required
news_filter,src/v7_engine/news_filter.py,,LIVE,YES,V7 canonical module,LOW,
ftmo_compliance,src/v7_engine/ftmo_compliance.py,,LIVE,YES,V7 canonical module,LOW,
position_throttler,src/v7_engine/position_throttler.py,,LIVE,YES,V7 canonical module,LOW,
schedule_guard,src/v7_engine/schedule_guard.py,,LIVE,YES,V7 canonical module,LOW,
execution,src/v6_utils/execution.py,,LIVE,YES,"V6 foundation, used by V7 engine",LOW,
cost_model,src/v7_engine/cost_model.py,,LIVE,YES,FTMO integrated Gate 6E,LOW,
metrics,src/v7_engine/metrics.py,,LIVE,YES,Net-R metrics Gate 6D,LOW,
mae_analyzer,src/v7_engine/mae_analyzer.py,,LIVE,YES,Tick-based MAE,LOW,
walkforward_guard,src/v7_engine/walkforward_guard.py,,LIVE,YES,Frozen candidate enforcement,LOW,
data_loader,src/v6_utils/data_loader.py,,LIVE,YES,Parquet tick loader,LOW,
bars,src/v6_utils/bars.py,,LIVE,YES,Causal bar builder FX anchor,LOW,
temporal,src/v6_utils/temporal.py,,LIVE,YES,DST/timezone utilities,LOW,
trade_record,src/v7_engine/trade_record.py,,LIVE,YES,Gate 6E trade dataclass,LOW,
engine,src/v7_engine/engine.py,,LIVE,YES,UnifiedV7Engine canonical,LOW,
h1_fractal_sweep,src/phase18_h1_fractal_sweep.py,,LIVE,YES,H1 sweep signal gen,LOW,
first_3m_choch,src/phase18_first_3m_choch.py,,LIVE,YES,M3 CHOCH signal gen,LOW,
sweep_direct,src/v7_engine/sweep_direct.py,,DEPRECATED,NO,"Uses MOCK data, not real engine",MEDIUM,Replace with gate6_mini_runner
phase14_signals,src/phase14_signals.py,,DEPRECATED,NO,Superseded by phase18,LOW,
phase19_repaired_engine,src/phase19_repaired_engine.py,,DEPRECATED,NO,Superseded by V7 engine,LOW,
phase27_full_historical,src/phase27_full_historical_validation.py,,DEPRECATED,NO,Legacy runner pre-V7,MEDIUM,
phase29_wr_loss_streak,src/phase29_wr_loss_streak_compression.py,,DEPRECATED,NO,Legacy analysis pre-V7,LOW,
