finding_id,severity,status,category,file_or_area,evidence_summary,is_current_active_risk,is_legacy_or_deprecated,blocks_v50b,blocks_test,blocks_paper_demo,recommended_action,priority
CRIT-01,CRITICAL,CONFIRMED_ACTIVE,security,PHASE47I_PUBLIC_EXPOSURE_SECRET_VISIBILITY_AUDIT.md,"Tracked Telegram token found in current report and historical backup; full value not printed",YES,NO,YES,YES,YES,"USER_MUST_REVOKE_IN_BOTFATHER_NOW; then authorize masking/history cleanup separately",P0
CRIT-02,MEDIUM,CONFIRMED_LEGACY,packaging,artifact_delivery/single_zip_delivery_lock,"ZIP reports contradict physical/root state but later GitHub source-of-truth policy deprecates ZIP workflow",NO,YES,NO,NO,NO,"Do not create ZIP; keep legacy contradiction documented",P2
CRIT-03,LOW,SUPERSEDED_BY_LATER_COMMIT,splits,R1/R2 reports,"Earlier R2/V49.7B split issue is superseded by R1 final freeze and V50 commits",NO,YES,NO,NO,NO,"Do not use R1/R2 to authorize anything",P3
CRIT-04,CRITICAL,CONFIRMED_ACTIVE,mock_evidence,V50B preflight scripts and outputs,"Current V50B evidence is generated by synthetic/dummy scripts and a runner that does not backtest",YES,NO,YES,YES,YES,"Invalidate V50B evidence; rebuild only from real engine outputs",P0
HIGH-01,MEDIUM,CONFIRMED_ACTIVE,data_news,05_MARKET_DATA_VAULT,"Vault README references DATA_MANIFEST.csv and SCHEMA.md but they are absent; secondary governance audits exist",YES,NO,NO,NO,YES,"Create canonical vault manifest/schema or update README source-of-truth",P1
HIGH-02,HIGH,CONFIRMED_ACTIVE,loader,src/v6_utils/data_loader.py,"Hardcoded stale parquet root and default float32 downcast",YES,NO,NO,NO,YES,"Route through canonical vault config and default float64 for trading-critical paths",P1
HIGH-03,HIGH,CONFIRMED_ACTIVE,timezone,src/v7_engine/engine.py,"Aware timestamps can lose offset via replace(tzinfo=None)",YES,NO,NO,NO,YES,"Convert to UTC before stripping timezone; add regression test",P1
HIGH-04,MEDIUM,CONFIRMED_ACTIVE,news_coverage,news governance / runner boundary,"News coverage audits exist but current V50B evidence does not consume real news path",YES,NO,YES,YES,YES,"Require per-run fail-closed news coverage proof",P1
HIGH-05,HIGH,CONFIRMED_ACTIVE,ftmo,src/v7_engine/ftmo_compliance.py and engine.py,"FTMO module supports floating_pnl but engine feeds floating_pnl=0.0 only",YES,NO,NO,NO,YES,"Add intratrade floating DD checks from tick path",P1
HIGH-06,MEDIUM,CONFIRMED_ACTIVE,multi_agent,.git/hooks/pre-commit and governance docs,"Core hook exists but ownership/data/security enforcement is local and narrow",YES,NO,NO,NO,YES,"Add portable staged-content secret scanning and stronger folder enforcement",P2
MED-01,HIGH,CONFIRMED_ACTIVE,slippage,src/v7_engine/cost_model.py,"Slippage is scalar R penalty rather than path-level fill model",YES,NO,NO,NO,YES,"Add path-level slippage/fill model before paper/demo",P1
MED-02,MEDIUM,CONFIRMED_ACTIVE,bid_ask_bars,src/v6_utils/bars.py,"build_bars can derive mid price if price_col default is used",YES,NO,NO,NO,YES,"Force explicit bid/ask price_col in runners and tests",P2
MED-03,MEDIUM,CONFIRMED_ACTIVE,tests,src/v7_engine/tests,"Some strategy tests are decorative constants/assert True while engine causality tests are stronger",YES,NO,NO,NO,YES,"Do not count decorative tests as gate coverage",P2
