id,name,family,trigger,entry,exit,scoring,original_priority,audit_status,audit_priority,news_dependency,hp_dependency,data_certified,source_refs,correlation_risk,audit_notes,gemini_numbering,unblock_condition,rejection_reason,implementation_order,ready_for_skeleton,auditor
MR-01,Anchor Elastic,Mean Reversion,Desviacion extrema >1.2 ATR o 1.8sigma vs APM sin ADX<22,Cierre M1 reingreso a banda,TP en APM max 1.5R SL extremo+buffer,95,A,CONFIRMED,PRIORITY_A,NO,NO,YES,Source1_GPT#1;Source3_MD#5;Source6_Inv#1,LOW,,1,,,,1,YES,Claude Opus 4.7
VE-01,RV Shock Break,Volatility Expansion,Ruptura Donchian 30m tras compresion rv15<=p30,Cierre M5 sobre canal + rv5>=2x mediana,TP 2.0R SL bajo barra ruptura,92,A,CONFIRMED,PRIORITY_A,NO,NO,YES,Source1_GPT#2;Source2_NY#1;Source6_Inv#3,LOW,rv5/rv15 computable from M1 returns,2,,,,2,YES,Claude Opus 4.7
TP-01,Trend Day EMA Pullback,Trend Pullback,Trend Day qualification 07-0930 + primer pullback a EMA20 sin cierre bajo EMA50,Cierre M1 giro a favor tendencia,TP 2.0R o trailing bajo EMA20,91,A,CONFIRMED,PRIORITY_A,NO,NO,YES,Source1_GPT#3;Source3_MD#12;Source6_Inv#14,LOW,,3,,,,3,YES,Claude Opus 4.7
SD-01,Europe Extreme Failure,Session Dynamics,Falsa extension extremo EUR 0200-0700 excursion<0.08ATR + reingreso rapido,Reingreso max 3 velas M1,TP midpoint europeo,89,A,CONFIRMED,PRIORITY_A,NO,NO,YES,Source1_GPT#4;Source2_NY#6;Source6_Inv#19,MODERATE,Must compute correlation with Manipulante during WF,4,,,,4,YES,Claude Opus 4.7
ED-01,Post-News Stabilization,Event Driven,Continuacion posnoticia tras normalizacion spread 10-15min post release,Ruptura max consolidacion posnoticia M1,TP 1.8R SL lado opuesto consolidacion,88,A,DOWNGRADED,DEFER_NEWS,YES,YES_spread,NO,Source1_GPT#5;Source2_NY#11;Source3_MD#15,N/A,Requires forex_factory_cache.csv MISSING,5,Provide certified news calendar CSV,,,NO,Claude Opus 4.7
SD-02,London Session H/L Breakout,Session Dynamics,Ruptura max/min LDN 0300-0700 UTC + filtro rango estrecho,Cierre M1 fuera rango LDN,TP 2xATR14 M5 SL 1xATR,87,B,CONFIRMED,PRIORITY_B,NO,NO,YES,Source2_NY#1;Source3_MD#9;Source6_Inv#5,LOW,,6,,,,N/A,NO,Claude Opus 4.7
MR-02,VWAP Stretch Reversion,Mean Reversion,Reversion desde +-2.25SD VWAP anclado,RSI14 cruzando 28/72 tras toque banda extrema,TP linea central VWAP o +-1SD,86,B,CONFIRMED,PRIORITY_B,NO,NO,YES,Source3_MD#5;Source6_Inv#1,LOW,Overlap with MR-01 - verify non-redundancy,7,,,,N/A,NO,Claude Opus 4.7
TP-02,Institutional EMA Pullback,Trend Pullback,Retroceso a EMA50/200 M15 en tendencia EMA50>EMA200,Cierre M5 pullback respetado,TP 2.5x riesgo SL bajo minimo local,85,B,CONFIRMED,PRIORITY_B,NO,NO,YES,Source3_MD#12;Source6_Inv#14,LOW,Overlap with TP-01 via M15 timeframe,8,,,,N/A,NO,Claude Opus 4.7
VE-02,BB Squeeze Momentum,Volatility Expansion,BB Bandwidth<SMA50 + ruptura + ADX ascendente,Cierre M15 fuera bandas ADX>25,TP 1:2RR SL SMA20,84,B,CONFIRMED,PRIORITY_B,NO,NO,YES,Source3_MD#2;Source6_Inv#8,LOW,,9,,,,N/A,NO,Claude Opus 4.7
SD-03,Asian Range Fakeout,Session Dynamics,Barrido falso del rango asiatico en apertura europea,Reingreso al rango tras fakeout,TP rango opuesto SL extremo fakeout,83,B,CONFIRMED,PRIORITY_B,NO,NO,YES,Source3_MD#10;Source2_NY#6,HIGH,Source 2 explicitly flags HIGH correlation with Manipulante,10,,,,N/A,NO,Claude Opus 4.7
SD-04,Initial Balance Failure,Session Dynamics,Fracaso IB 0700-0830 NY ruptura no sostenida,Cierre M5 reingresando al IB,TP 1xATR SL lado opuesto IB,82,B,CONFIRMED,PRIORITY_B,NO,NO,YES,Source6_Inv#5;Source2_NY#7,MODERATE,,11,,,,N/A,NO,Claude Opus 4.7
MR-03,London Close Mean Reversion,Mean Reversion,Desviacion VWAP diario cierre LDN 1130-1200NY,Vela M1 tras desviacion>5pips,TP 8pips SL 10pips,81,C,UPGRADED,PRIORITY_B,NO,NO,YES,Source1_GPT#14;Source3_MD#17;Source6_Inv#11,LOW,,12,,,,N/A,NO,Claude Opus 4.7
SE-01,Friday Reversion,Statistical Edge,Reversion toma beneficios viernes 1200NY tras tendencia semanal>0.8%,Ejecucion 1200NY stop catastrofico,Cierre por tiempo 1545NY,80,C,UPGRADED,PRIORITY_B,NO,NO,YES,Source6_Inv#10;Source2_NY#14,LOW,,13,,,,N/A,NO,Claude Opus 4.7
SE-02,London Lunch Fade,Statistical Edge,Ruptura fallida rango almuerzo 1145-1330 LDN,Reingreso rango 2min tras excursion>0.12ATR,TP midpoint SL extremo excursion,79,C,UPGRADED,PRIORITY_B,NO,NO,YES,Source1_GPT#14;Source2_NY#18,LOW,,14,,,,N/A,NO,Claude Opus 4.7
MR-04,Keltner Snapback,Mean Reversion,Ruptura Keltner 20/2.0ATR sin soporte volumen,Cierre M5 dentro canales tras excursion,TP EMA central SL extremo previo,77,C,CONFIRMED,PRIORITY_B,NO,NO,YES,Source3_MD#3;Source6_Inv#12,LOW,,16,,,,N/A,NO,Claude Opus 4.7
VE-03,ATR Compression-Expansion,Volatility Expansion,Ciclo ATR p<30 + pico explosivo,Cierre M5 fuera rango compresion ATR ascendente,TP 2.0R,76,C,CONFIRMED,PRIORITY_B,NO,NO,YES,Source6_Inv#13;Source2_NY#15,LOW,,17,,,,N/A,NO,Claude Opus 4.7
TP-04,Breakout-Retest Structural,Trend Pullback,Ruptura H/L sesion previa + retesteo +-3pips,Vela M1 confirmatoria sin sombras profundas,TP 15pips SL 10pips,74,C,CONFIRMED,PRIORITY_B,NO,NO,YES,Source3_MD#14;Source2_NY#9,LOW,,19,,,,N/A,NO,Claude Opus 4.7
VE-04,NY Mid-Day Volatility Expansion,Volatility Expansion,Ruptura rango estrecho mediodia 1130-1200NY,Cierre M1 fuera rango spread<1.5pips,TP 2xATR SL 1xATR,71,C,CONFIRMED,PRIORITY_B,NO,NO,YES,Source2_NY#18;Source3_MD#18,LOW,,22,,,,N/A,NO,Claude Opus 4.7
HY-03,M15 Trend + VWAP MR,Hybrid,Desviacion VWAP >3pips a favor tendencia M15 MA10>MA30,Vela reversal M1 tras desviacion extrema,TP1 VWAP TP2 extension,69,C,CONFIRMED,PRIORITY_B,NO,NO,YES,Source3_MD#20;Source6_Inv#9,LOW,,24,,,,N/A,NO,Claude Opus 4.7
HY-01,GARCH Adaptive,Hybrid,Cambio regimen GARCH11/HMM sobre retornos M15,Ruptura Donchian tendencia o Reversion BB rango,Variable segun regimen,78,C,FLAGGED,REVIEW_NEEDS_SPECIFICATION,NO,NO,YES,Source6_Inv#6,LOW,Underspecified: regime thresholds and online fitting undefined,15,,Specify convergence criteria and fallback,,NO,Claude Opus 4.7
TP-03,Fibonacci 61.8% Pullback,Trend Pullback,Retroceso 61.8% impulso M5 con ADX M15>25,Rechazo M5 tras tocar Fib,TP 1.5xSL SL bajo swing previo,75,C,FLAGGED,REVIEW_NEEDS_SPECIFICATION,NO,NO,YES,Source3_MD#13,LOW,Fibonacci levels geometrically arbitrary - no microstructural basis,18,,Define swing detection algorithm precisely,,NO,Claude Opus 4.7
HY-02,HVFTF Trend Following,Hybrid,Giro SuperTrend 10/3 M5 filtrado ADX + ST M15,Apertura M5 tras confirmacion tendencia,TP 2.5R SL SuperTrend,70,C,FLAGGED,REVIEW_NEEDS_SPECIFICATION,NO,NO,YES,Source3_MD#19,LOW,M5/M15 conflict resolution undefined,23,,Define conflict resolution protocol,,NO,Claude Opus 4.7
ED-02,Post-News Volatility Reversion,Event Driven,Reversion spike ATR>2x pre-news tras 10min release,Vela M1 giro rompe max/min vela shock,TP 0.75xATR_pre SL 1.0xATR_pre,73,C,DOWNGRADED,DEFER_NEWS,YES,YES_spread,NO,Source1_GPT#18;Source2_NY#12,N/A,Same news dependency as ED-01,20,Provide certified news calendar CSV,,,NO,Claude Opus 4.7
ED-03,PNMC-15 Momentum,Event Driven,Estabilizacion 15min posnoticia StdDev<0.5xATR,Ruptura rango estabilizacion direccion shock,TP 2xATR15m SL 1xATR15m,72,C,DOWNGRADED,DEFER_NEWS,YES,YES_spread,NO,Source2_NY#11;Source3_MD#16,N/A,Same news dependency as ED-01,21,Provide certified news calendar CSV,,,NO,Claude Opus 4.7
SD-05,Programmable Structure Break + Fill,Session Dynamics,Ruptura swing H/L intradia + llenado imbalance estructural,Cierre M5 tras mitigacion zona valor,Variable segun estructura,68,C,REJECTED,REJECT_DISCRETIONARY,NO,NO,YES,Weak - no source fully specifies,HIGH,ICT/SMC concepts not algorithmically defined + HIGH correlation Manipulante,25,,,Discretionary + correlation,NO,Claude Opus 4.7
