risk_id,risk_name,severity,affected_agent,affected_folder,evidence,potential_impact,recommended_action,requires_stop,status
RSK-01,Research toca producción,LOW,Research Agent,01_CORE_PRODUCTION,Sin cambios observados en Git status para esta ruta,Contaminación de lógicas en entorno real o alteración de releases,Mantener estricto bloqueo de permisos a nivel de sistema,NO,MONITORING
RSK-02,Research modifica datos,LOW,Research Agent,05_MARKET_DATA_VAULT,Sin modificaciones en el vault según Git status,Sesgo de supervivencia o alteración de series históricas de backtest,Hacer cumplir lectura exclusiva y validar hashes de ticks,NO,MONITORING
RSK-03,Data Agent modifica datos crudos,LOW,Data Quality Agent,05_MARKET_DATA_VAULT,Fase de solo lectura confirmada sin escrituras activas,Pérdida de la base canónica inmutable de mercado,Auditoría continua de integridad sobre archivos Parquet/CSV,NO,MONITORING
RSK-04,Data Agent toca research runner/resultados,LOW,Data Quality Agent,03_RESEARCH_LAB,Sin archivos ajenos en el laboratorio,Inconsistencia en métricas de evaluación de estrategias,Aislar flujos de salida del Agente 2 hacia su subcarpeta propia,NO,MONITORING
RSK-05,Governance Agent toca código,INFO,Governance Supervisor,01_CORE_PRODUCTION / 03_RESEARCH_LAB,Injerencia cero demostrada y verificada por el Agente 3,Ruptura del principio de supervisión aséptica,Mantener política estricta de no ejecución y solo reporte,NO,MONITORING
RSK-06,Packaging crea ZIPs extra,MEDIUM,All Agents,Raíz del proyecto,No se visualizan archivos ZIP secundarios en el directorio raíz,Multiplicidad de distribuciones y confusión forense,Eliminar de inmediato cualquier empaquetado no oficial,NO,MONITORING
RSK-07,Working tree queda sucio sin explicación,HIGH,Research Agent,Raíz / 06_GOVERNANCE,Git status revela archivos modificados y carpetas untracked en curso,Pérdida de auditabilidad y control de versiones aséptico,Exigir justificación y limpieza del working tree antes de hitos,NO,OPEN
RSK-08,Dos agentes escriben la misma carpeta,HIGH,Research Agent / Governance Agent,06_GOVERNANCE_AND_COMPLIANCE,Creación de la carpeta architecture/manipulante3_htf_ltf_research por Agente 1,Sobreescritura de reportes y violación de contornos de gobierno,Mover los outputs de research hacia 03_RESEARCH_LAB de inmediato,NO,OPEN
RSK-09,Agent 1 corre sweep sin preflight,MEDIUM,Research Agent,03_RESEARCH_LAB,Falta de evidencia de un checklist preflight formalizado antes del barrido,Consumo descontrolado de recursos y corridas redundantes,Requerir la emisión obligatoria de un preflight manifest,NO,MONITORING
RSK-10,Agent 1 usa TEST para selección,HIGH,Research Agent,03_RESEARCH_LAB,Declarado conforme en el status de lockdown pero sin bloqueo por hardware,Sobreajuste severo (overfitting) e invalidación de la estrategia,Monitorear estrictamente el acceso a particiones OOS/TEST,NO,MONITORING
RSK-11,Agent 2 marca meses PASS sin evidencia,MEDIUM,Data Quality Agent,06_GOVERNANCE_AND_COMPLIANCE,Falta de inicialización de la carpeta de reportes del Agente 2,Falsos positivos en la certificación de calidad de datos,Establecer un esquema de logs detallados obligatorios,NO,MONITORING
RSK-12,Se generan archivos sueltos en raíz,MEDIUM,Research Agent,Raíz del proyecto,Presencia de archivos TXT y SHA256 sueltos en el directorio principal,Desorden estructural y degradación institucional del repositorio,Consolidar manuales e instructivos dentro de gobernanza,NO,OPEN
RSK-13,Se rompe regla single ZIP,MEDIUM,All Agents,Raíz del proyecto,El archivo único oficial existe pero presenta estado modificado,Pérdida de la firma canónica certificada en el cierre de Gate 6,Verificar causas de la alteración y sellar asépticamente,NO,OPEN
RSK-14,Se toca .gitignore sin reporte,LOW,All Agents,Raíz del proyecto,Archivo .gitignore sin alteraciones recientes en el árbol actual,Fuga accidental de binarios o archivos de caché al control de versiones,Vigilancia de firmas en commits,NO,MONITORING
RSK-15,Se modifica 000_PARA_CHATGPT.zip durante corridas activas,CRITICAL,Research Agent / Packaging,Raíz del proyecto,Git status muestra 000_PARA_CHATGPT.zip como modificado en pleno research,Pérdida de la inmutabilidad del baseline oficial entregado,Detener agente o exigir reporte de justificación crítico inmediato,YES,OPEN
RSK-16,Se genera output sin manifest,HIGH,Research Agent,06_GOVERNANCE_AND_COMPLIANCE,Archivos de status generados sin un manifest centralizado canónico,Opacidad en la trazabilidad de los experimentos multi-agente,Obligar a la entrega de un manifest unificado por barrido,NO,OPEN
